network_name,comp1_vi,comp1_nmi,comp1_ji,comp2_vi,comp2_nmi,comp2_ji,comp3_vi,comp3_nmi,comp3_ji
airports_UW.net,0.0,1.0,1.0,2.382969260740776,0.0,0.00884466556108,2.485150932870935,0.0,0.130735212825
zachary_unwh.net,0.8868343705714066,0.579827776314514,0.441176470588,0.5321149571976969,0.6924673268725452,0.264705882353,0.8317264886923059,0.5866347600965968,0.323529411765
football.net,0.5703856303436412,0.87888840621752,0.217391304348,1.2691042211754668,0.6977316621164369,0.182608695652,0.519500275988733,0.8903166312052426,0.217391304348
cat_cortex_sim.net,2.279867688236276,0.4733481335654691,0.0181818181818,0.8238638913443426,0.6568731477410742,0.636363636364,0.5300168116517869,0.7807354079449678,0.690909090909
dolphins.net,0.9074396615479132,0.5541604990476865,0.435483870968,0.7770066032974408,0.5727004718449731,0.693548387097,1.0425125729412466,0.5162338069720359,0.387096774194
20x2+5x2.net,0.13862943611198908,0.938344985628389,0.9,0.13862943611198908,0.938344985628389,0.9,0.13862943611198908,0.938344985628389,0.9
star.net,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
graph4+4.net,0.0,1.0,1.0,0.0,1.0,1.0,0.7356219397587944,0.5856451065097651,0.5
graph3+1+3.net,0.6426687367072095,0.5294617736385714,0.857142857143,0.0,1.0,1.0,0.0,1.0,1.0
256_4_4_4_13_18_p.net,0.14058378615470213,0.9517420318399953,0.5625,0.0,1.0,1.0,0.14058378615470213,0.9517420318399953,0.5625
rb125.net,0.766027671625098,0.8044393876416339,0.008,0.6667577468725758,0.8284043684093798,0.08,0.6667577468725758,0.8284043684093798,0.08
256_4_4_2_15_18_p.net,0.0,1.0,1.0,0.6392067919752371,0.8697083946784426,0.0625,0.0,1.0,1.0
